#;NAME;P0;P1
632;J1600-5916;1.247666;8.87e-16
633;J1601-5244;2.559357;7.21e-16
634;J1601-5335;0.288457;6.24e-14
635;J1602-4957;0.819990;1.59e-14
636;B1558-50;0.864227;6.96e-14
637;J1603-2531;0.283070;1.59e-15
638;B1600-27;0.778313;3.01e-15
639;J1603-3539;0.141909;1.24e-16
640;J1603-5657;0.496077;2.79e-15
641;J1604-4718;0.527466;4.96e-15
642;B1600-49;0.327418;1.02e-15
643;J1604-7203;0.341403;8.40e-17
644;J1605-5215;1.013609;4.75e-15
645;B1601-52;0.658013;2.56e-16
646;B1604-00;0.421816;3.06e-16
647;J1607-5140;0.342723;2.54e-15
648;J1607-6449;0.298116;2.49e-17
649;J1609-1930;1.557917;5.09e-16
650;J1609-4616;0.249609;5.01e-16
651;J1609-5158;1.279402;1.30e-14
652;B1607-13;1.018393;2.30e-16
653;J1610-5006;0.481119;1.36e-14
654;J1610-5303;0.786468;2.62e-15
655;J1611-4811;1.296850;1.95e-15
656;J1611-4949;0.666438;5.42e-16
657;B1607-52;0.182492;5.17e-15
658;J1612+2008;0.426646;3.73e-17
659;J1612-2408;0.923834;1.57e-15
660;J1612-5136;0.483311;3.78e-15
661;J1612-5805;0.615520;9.35e-16
662;B1609-47;0.382376;6.32e-16
663;J1613-5211;0.457502;1.92e-14
664;J1613-5234;0.655221;6.63e-15
665;B1612+07;1.206801;2.36e-15
666;J1614-3937;0.407292;1.59e-16
667;B1610-50;0.231694;4.95e-13
668;J1614-5144;1.534008;7.44e-15
669;J1614-5402;0.572592;2.90e-17
670;B1612-29;2.477568;1.58e-15
671;J1615-5444;0.360958;3.38e-16
672;B1611-55;0.791526;2.00e-15
673;J1616-5017;0.491384;4.66e-14
674;J1616-5109;1.219594;1.91e-14
675;J1616-5208;1.025831;2.89e-14
676;J1617-4216;3.428466;1.81e-14
677;J1617-4608;0.567080;1.65e-14
678;J1617-5055;0.069357;1.35e-13
679;J1618-4723;0.203553;1.99e-15
680;J1620-4927;0.171935;1.05e-14
681;J1620-5414;1.156360;6.74e-17
682;J1621-5039;1.084020;1.30e-14
683;J1621-5243;0.371924;7.68e-16
684;J1622-3751;0.731463;2.57e-15
685;J1622-4332;0.916938;1.56e-15
686;J1622-4347;0.457681;5.05e-15
687;J1622-4802;0.265072;3.07e-16
688;J1622-4845;0.735092;1.10e-16
689;J1622-4944;1.072968;1.71e-14
690;J1622-4950;4.326100;1.70e-11
691;J1623-0841;0.503015;1.96e-15
692;B1620-09;1.276446;2.58e-15
693;B1620-42;0.364590;1.02e-15
694;J1623-4949;0.725732;4.21e-14
695;J1623-5005;0.085072;4.16e-15
696;J1624-4041;0.167861;4.72e-15
697;J1624-4411;0.233164;7.99e-16
698;J1624-4613;0.871243;6.07e-17
699;J1624-4721;0.448723;4.15e-15
700;J1625-4048;2.355278;4.43e-16
701;J1625-4904;0.460339;1.68e-14
702;J1625-4913;0.355856;6.65e-15
703;J1626-4537;0.370141;8.28e-15
704;J1626-4807;0.293928;1.75e-14
705;J1626-6621;0.450868;7.66e-16
706;J1627+1419;0.490857;3.93e-16
707;J1627-4706;0.140746;1.73e-15
708;J1627-4845;0.612331;3.64e-15
709;J1627-5547;0.352464;7.38e-16
710;J1628-4804;0.865971;1.24e-15
711;J1628-4828;4.137539;1.75e-14
712;J1629-3636;2.988193;7.00e-15
713;J1630-4719;0.559071;1.42e-14
714;B1626-47;0.575971;2.23e-14
715;J1631-1612;0.677684;1.10e-15
716;J1632-1013;0.717637;6.60e-17
717;J1632-4509;1.046810;1.49e-14
718;J1632-4621;1.709154;7.60e-14
719;J1632-4757;0.228564;1.51e-14
720;J1632-4818;0.813453;6.50e-13
721;J1633-2009;0.935557;1.07e-15
722;B1630-44;0.436507;6.20e-15
723;J1633-4805;0.710830;7.69e-14
724;B1629-50;0.352142;3.79e-15
725;J1634-5107;0.507356;1.57e-15
726;J1634-5640;0.224201;4.10e-17
727;J1635-1511;1.179387;2.32e-16
728;B1633+24;0.490507;1.19e-16
729;J1635-4513;1.594746;3.60e-15
730;J1635-4944;0.671964;8.79e-15
731;B1630-59;0.529121;1.37e-15
732;J1636-4440;0.206649;4.67e-14
733;J1636-4803;1.204644;2.07e-14
734;J1636-4933;0.430367;1.51e-15
735;J1637-4335;0.771367;3.62e-15
736;J1637-4450;0.252870;5.75e-16
737;B1634-45;0.118771;3.19e-15
738;J1637-4642;0.154027;5.92e-14
739;J1637-4721;1.165741;4.44e-15
740;J1637-4816;0.837365;5.83e-15
741;J1638-3815;0.698261;7.70e-17
742;J1638-3951;0.771130;5.90e-16
743;J1638-4344;1.121944;2.50e-17
744;J1638-4417;0.117802;1.61e-15
745;J1638-4608;0.278137;5.15e-14
746;J1638-4725;0.763933;4.79e-15
747;J1638-5226;0.340503;2.65e-15
748;J1639-4359;0.587559;1.50e-17
749;B1635-45;0.529116;5.78e-15
750;J1640-4631;0.206443;9.76e-13
751;J1640-4648;0.178352;8.06e-16
752;B1636-47;0.517405;4.20e-14
753;J1640-4951;0.739099;3.34e-16
754;J1641-2347;1.091008;4.11e-17
755;J1643-4505;0.237383;3.18e-14
756;J1643-4522;1.347899;8.28e-15
757;J1643-4550;0.717508;3.00e-14
758;B1641-45;0.455060;2.01e-14
759;J1644-4657;0.125962;7.50e-16
760;B1642-03;0.387690;1.78e-15
761;J1645+1012;0.410861;8.13e-17
762;J1646-4308;0.840680;1.10e-16
763;B1643-43;0.231603;1.13e-13
764;J1646-5123;0.530075;2.10e-15
765;B1641-68;1.785611;1.70e-15
766;J1647-3607;0.212316;1.29e-16
767;J1647-4552;10.610656;8.33e-13
768;J1648-3256;0.719455;3.53e-15
769;J1648-4458;0.629632;1.85e-15
770;J1648-4611;0.164950;2.37e-14
771;J1648-6044;0.583765;4.29e-16
772;J1649+2533;1.015257;5.59e-16
773;J1649-3805;0.262026;3.67e-17
774;J1649-3935;0.770910;3.91e-17
775;J1649-4349;0.870712;4.40e-17
776;J1649-4653;0.557019;4.97e-14
777;J1649-4729;0.297692;6.55e-15
778;J1649-5553;0.613571;1.70e-15
779;J1650-1654;1.749552;3.20e-15
780;J1650-4126;0.308918;1.98e-17
781;J1650-4341;0.309398;1.67e-17
782;J1650-4502;0.380870;1.61e-14
783;J1650-4601;0.127123;1.51e-14
784;J1650-4921;0.156399;1.82e-15
785;B1648-17;0.973394;3.04e-15
786;B1648-42;0.844081;4.81e-15
787;J1651-4519;0.517443;8.19e-15
788;B1647-52;0.635056;1.81e-15
789;B1647-528;0.890534;2.07e-15
790;J1651-7642;1.755311;1.36e-15
791;J1652-1400;0.305447;1.76e-17
792;B1649-23;1.703739;3.16e-15
793;J1652+2651;0.915803;6.54e-16
794;J1652-4406;7.707183;9.50e-15
795;B1650-38;0.305037;2.79e-15
796;J1653-4030;1.019372;4.36e-16
797;J1653-4249;0.612558;4.81e-15
798;J1653-4315;0.419280;1.50e-17
799;J1653-4854;3.059510;3.45e-15
800;J1654-2713;0.791822;1.68e-16
801;J1654-3710;0.939165;7.35e-16
802;J1654-4140;1.273945;1.30e-16
803;J1654-4245;1.101555;5.12e-14
804;J1655-3048;0.542936;3.66e-17
805;J1655-3844;1.193439;2.00e-15
806;J1656-3621;0.730134;1.28e-15
807;J1657-4432;0.609607;8.20e-15
808;J1658-4306;1.166449;4.28e-14
809;J1658-4958;0.416874;3.86e-15
810;B1657-13;0.640958;6.18e-16
811;J1659-4316;0.474381;1.71e-16
812;J1659-4439;0.353293;2.50e-17
813;J1700-3312;1.358307;4.71e-15
814;J1700-3611;1.494091;4.32e-15
815;J1700-4012;0.283792;9.91e-17
816;J1700-4422;0.755535;4.00e-17
817;J1700-4939;0.578363;1.08e-15
818;J1701-3130;0.291341;5.60e-17
819;B1658-37;2.454609;1.11e-14
820;B1657-45;0.322909;5.19e-16
821;J1701-4958;0.804304;1.10e-16
822;J1702-3932;0.390328;3.78e-16
823;J1702-4128;0.182136;5.23e-14
824;J1702-4217;0.227565;1.14e-17
825;J1702-4306;0.215507;9.79e-15
826;J1702-4310;0.240524;2.24e-13
827;J1702-4428;2.123506;3.30e-15
828;B1700-18;0.804341;1.73e-15
829;B1700-32;1.211785;6.60e-16
830;J1703-4442;1.747293;1.43e-14
831;J1703-4851;1.396401;5.08e-15
832;B1659-60;0.306323;9.10e-16
833;B1702-19;0.298987;4.14e-15
834;J1705-3423;0.255426;1.08e-15
835;J1705-3936;0.854482;1.93e-14
836;J1705-3950;0.318941;6.06e-14
837;J1705-4108;0.861067;3.47e-14
838;J1705-4331;0.222561;7.12e-17
839;J1705-6135;0.808546;6.00e-17
840;J1706-3839;0.586287;3.00e-15
841;J1706-4310;0.616979;6.51e-15
842;J1706-6118;0.361921;2.92e-16
843;B1703-40;0.581017;1.92e-15
844;J1707-4341;0.890594;5.70e-15
845;J1707-4417;5.763777;1.16e-14
846;J1707-4729;0.266474;1.56e-15
847;J1708-3426;0.692113;4.20e-15
848;J1708-3641;0.587567;1.35e-16
849;J1708-3827;1.225782;8.60e-15
850;J1708-4008;11.006262;1.96e-11
851;J1708-4522;1.297837;2.61e-15
852;B1701-75;1.191024;1.88e-15
853;B1706-16;0.653054;6.31e-15
854;J1709-3626;0.447857;2.27e-15
855;J1709-3841;0.586986;7.86e-15
856;J1709-4342;1.735898;8.00e-16
857;J1709-4401;0.865235;7.37e-15
858;B1706-44;0.102459;9.30e-14
859;J1710-2616;0.954158;2.00e-17
860;J1710-4148;0.286561;1.02e-16
861;B1709-15;0.868804;1.10e-15
862;J1711-3826;0.465365;7.41e-15
863;J1711-4322;0.102618;2.67e-17
864;B1707-53;0.899218;1.55e-14
865;J1712-2715;0.255360;1.28e-15
866;J1713-3844;1.600114;1.77e-13
867;J1714-1054;0.696279;5.88e-17
868;J1714-3810;3.824936;5.88e-11
869;J1715-3247;1.260214;9.20e-17
870;J1715-3700;0.779628;1.46e-16
871;J1715-3859;0.928108;4.40e-15
872;J1715-3903;0.278481;3.77e-14
873;J1715-4034;2.072153;3.01e-15
874;J1715-4254;0.573745;8.76e-16
875;J1716-3720;0.630314;1.80e-14
876;J1716-4005;0.311813;2.87e-15
877;J1716-4111;1.036067;2.88e-15
878;J1716-4711;0.555824;8.33e-16
879;B1714-34;0.656299;9.80e-15
880;J1717-3737;0.682419;5.29e-15
881;J1717-3847;1.149499;8.20e-16
882;J1717-3953;1.085521;3.30e-17
883;J1717-4043;0.397857;1.22e-14
884;J1717-40435;0.349929;1.75e-15
885;B1713-40;0.887719;3.68e-15
886;J1717-5800;0.321793;1.96e-16
887;J1718-3714;1.289379;2.62e-14
888;J1718-3718;3.378574;1.61e-12
889;J1718-3825;0.074670;1.32e-14
890;J1718-4539;0.590473;7.51e-15
891;B1715-40;0.189094;1.67e-15
892;J1719-4302;0.235475;3.92e-16
893;B1718-02;0.477715;8.28e-17
894;B1717-16;1.565601;5.80e-15
895;J1720+2150;1.615664;7.40e-16
896;J1720-2446;0.874265;5.93e-16
897;B1717-29;0.620448;7.46e-16
898;J1720-3659;0.351125;3.27e-17
899;B1718-19;1.004037;1.62e-15
900;J1721-1939;0.404040;1.28e-16
901;B1718-35;0.280424;2.52e-14
902;B1718-32;0.477158;6.46e-16
903;B1718-36;0.399183;4.46e-15
904;B1719-37;0.236173;1.09e-14
905;J1722-4400;0.218554;3.74e-16
906;J1723-2852;0.625034;9.00e-16
907;J1723-3659;0.202722;8.01e-15
908;J1724-3149;0.948237;7.25e-15
909;J1724-3505;1.221708;2.11e-14
910;J1724-4500;1.309109;3.51e-15
911;J1725-0732;0.239919;4.30e-16
912;J1725-2852;1.257788;1.99e-15
913;J1725-3546;1.032471;1.50e-14
914;J1725-3848;2.062386;2.30e-14
915;J1725-4043;1.465071;2.79e-15
916;J1726-3530;1.110132;1.22e-12
917;J1726-3635;0.287432;1.44e-15
918;J1726-4006;0.882778;3.33e-15
919;J1727-2739;1.293100;1.10e-15
920;B1726-00;0.386004;1.12e-15
921;J1728-3733;0.615538;7.20e-17
922;J1728-4028;0.866343;2.33e-16
923;J1730-2900;1.538427;8.85e-15
924;B1727-33;0.139460;8.48e-14
925;J1730-3353;3.270242;2.20e-14
926;J1731-3123;0.753048;1.68e-15
927;J1731-3322;0.544671;2.81e-14
928;B1727-47;0.829829;1.64e-13
929;J1732-1930;0.483770;1.82e-16
930;J1732-3131;0.196543;2.80e-14
931;J1732-3426;0.332887;4.02e-16
932;J1732-3729;2.184001;1.30e-15
933;B1729-41;0.627981;1.28e-14
934;J1732-4156;0.323434;6.61e-16
935;B1730-22;0.871683;4.27e-17
936;J1733-2533;0.659794;2.10e-15
937;J1733-2837;0.768185;1.11e-15
938;J1733-3030;0.362052;1.65e-15
939;J1733-3322;1.245915;4.10e-15
940;B1730-37;0.337594;1.50e-14
941;J1733-4005;0.561778;3.62e-15
942;J1733-5515;1.011234;4.00e-16
943;B1732-02;0.839394;4.21e-16
944;J1734-2415;0.612524;1.05e-15
945;J1734-3058;0.541286;1.62e-17
946;J1734-3333;1.169341;2.28e-12
947;J1735-0243;0.782887;6.32e-16
948;B1732-07;0.419335;1.21e-15
949;J1735-3258;0.350963;2.61e-14
950;J1736-2457;2.642223;3.43e-15
951;J1736-2819;1.592419;1.49e-14
952;J1736-2843;6.445036;3.00e-14
953;J1736-3511;0.502803;1.57e-15
954;J1737-3102;0.768672;3.73e-14
955;J1737-3137;0.450432;1.39e-13
956;J1737-3320;0.816273;2.25e-15
957;B1734-35;0.397585;6.12e-15
958;J1738-2330;1.978847;8.56e-15
959;J1738-2647;0.349591;3.15e-15
960;J1738-2736;0.627716;4.62e-15
961;J1738-2955;0.443398;8.19e-14
962;J1738-3107;0.549498;2.96e-16
963;B1735-32;0.768499;7.95e-16
964;J1738-3316;0.730373;8.86e-17
965;J1739+0612;0.234169;1.56e-16
966;J1739-1313;1.215698;8.17e-17
967;B1736-29;0.322882;7.88e-15
968;J1739-3023;0.114368;1.14e-14
969;J1739-3049;0.239317;2.18e-15
970;B1736-31;0.529441;1.86e-14
971;J1739-3159;0.877561;1.97e-16
972;J1739-3951;0.341772;1.99e-17
973;J1740+1000;0.154087;2.15e-14
974;B1737+13;0.803050;1.45e-15
975;J1740-2540;1.692656;1.85e-15
976;B1737-30;0.606887;4.66e-13
977;J1740-3052;0.570313;2.55e-14
978;J1740-3327;0.515001;3.90e-15
979;B1738-08;2.043082;2.27e-15
980;J1741-2019;3.904506;1.63e-14
981;J1741-2054;0.413700;1.70e-14
982;J1741-2719;0.346797;8.06e-17
983;J1741-2733;0.892959;1.48e-16
984;J1741+2758;1.360738;1.84e-15
985;J1741-2945;0.223558;6.34e-16
986;J1741-3016;1.893749;8.99e-15
987;B1737-39;0.512211;1.93e-15
988;J1742-3957;1.016349;8.16e-17
989;J1742-4616;0.412401;3.38e-17
990;B1740-03;0.444645;1.56e-15
991;B1740-13;0.405337;4.78e-16
992;J1743-2442;1.242508;4.72e-16
993;B1740-31;2.414576;1.21e-13
994;J1743-3153;0.193105;1.06e-14
995;J1743-4212;0.306167;7.83e-16
996;J1744-1610;1.757206;2.38e-15
997;J1744-2335;1.683507;8.33e-16
998;J1744-3130;1.066061;2.12e-14
999;J1744-5337;0.355666;1.90e-16
1000;J1745-0129;1.045407;6.31e-16
1001;J1745-2229;1.160593;2.86e-15
1002;J1745-2900;3.763733;1.76e-11
1003;B1742-30;0.367432;1.07e-14
1004;J1745-3812;0.698353;2.43e-15
1005;J1746+2245;3.465038;4.92e-15
1006;J1746+2540;1.058148;1.05e-15
1007;J1746-2849;1.478480;1.27e-14
1008;J1746-2850;1.077101;1.34e-12
1009;J1746-2856;0.945224;1.25e-14
1010;J1746-3239;0.199541;6.56e-15
1011;J1747-1030;1.578793;4.30e-16
1012;J1747-2647;0.500254;1.32e-14
1013;J1747-2802;2.780079;2.37e-15
1014;J1747-2809;0.052153;1.56e-13
1015;J1747-2958;0.098814;6.13e-14
1016;B1745-12;0.394133;1.21e-15
1017;B1745-20A;0.288603;3.99e-16
1018;J1748-2444;0.442838;1.11e-16
1019;J1749-2347;0.874486;2.42e-15
1020;J1749-2629;1.335388;1.72e-15
1021;B1746-30;0.609874;7.87e-15
1022;J1749-4931;0.445822;5.90e-16
1023;B1745-56;1.332310;2.12e-15
1024;J1750-2043;5.639047;7.95e-15
1025;J1750-2438;0.712794;1.08e-14
1026;J1750-2444;0.899377;2.64e-16
1027;J1750-28;1.300513;5.78e-15
1028;B1747-31;0.910363;1.97e-16
1029;J1750-3503;0.684014;3.81e-17
1030;J1751-2516;0.394836;2.64e-15
1031;J1751-3323;0.548227;8.83e-15
1032;B1747-46;0.742352;1.29e-15
1033;J1752+2359;0.409051;6.43e-16
1034;J1752-2410;0.191037;6.18e-16
1035;B1749-28;0.562558;8.13e-15
1036;J1752-2821;0.640229;3.47e-15
1037;B1750-24;0.528336;1.41e-14
1038;J1754-2422;2.090248;8.30e-16
1039;J1754-3443;0.361691;5.71e-16
1040;J1754-3510;0.392704;7.82e-16
1041;B1753+52;2.391397;1.56e-15
1042;J1755-0903;0.190710;7.81e-16
1043;J1755-1650;0.733744;6.86e-16
1044;J1755-2025;0.322231;4.42e-15
1045;J1755-2521;1.175968;9.02e-14
1046;J1755-25211;1.004513;3.12e-14
1047;J1755-2534;0.233541;1.12e-14
1048;J1755-26;0.430872;1.23e-14
1049;J1755-2725;0.261955;1.37e-17
1050;J1756-2225;0.404980;5.27e-14
1051;B1753-24;0.670480;2.85e-16
1052;J1756-2619;0.724514;1.24e-15
1053;J1757-2223;0.185310;7.82e-16
1054;B1754-24;0.234101;1.29e-14
1055;J1758-1931;0.692552;1.69e-14
1056;J1758-2206;0.430278;9.56e-16
1057;J1758-2540;2.107263;1.55e-15
1058;J1758-2630;1.202893;5.17e-15
1059;J1758-2846;0.766706;9.41e-17
1060;J1758+3030;0.947256;7.20e-16
1061;J1759-1029;2.512263;1.57e-14
1062;J1759-1736;0.798452;2.55e-16
1063;J1759-1903;0.731505;3.07e-15
1064;J1759-1940;0.254720;9.34e-17
1065;J1759-1956;2.843389;1.86e-14
1066;B1756-22;0.460974;1.09e-14
1067;J1759-2302;0.810718;1.07e-14
1068;J1759-2307;0.558889;3.76e-15
1069;J1759-2549;0.956549;9.96e-14
1070;J1759-2922;0.574400;4.63e-15
1071;J1759-3107;1.078953;3.77e-15
1072;J1800-0125;0.783185;1.15e-14
1073;J1800-2114;1.799272;5.50e-16
1074;B1758-03;0.921491;3.31e-15
1075;J1801-1855;2.550498;1.82e-16
1076;J1801-1909;1.108725;7.03e-16
1077;J1801-2115;0.438113;1.55e-17
1078;J1801-2154;0.375297;1.60e-14
1079;B1758-23;0.415827;1.13e-13
1080;B1757-24;0.124924;1.28e-13
1081;B1758-29;1.081908;3.29e-15
1082;J1801-3458;1.385604;3.97e-16
1083;J1802+0128;0.554262;2.11e-15
1084;J1802-1745;0.514671;5.64e-16
1085;J1802-2426;0.569007;8.56e-15
1086;J1802-3346;2.461052;1.32e-15
1087;J1803-1616;0.536596;1.77e-15
1088;J1803-1857;2.864338;1.52e-14
1089;J1803-1920;0.443649;3.30e-16
1090;B1800-21;0.133667;1.34e-13
1091;J1803-2149;0.106332;1.95e-14
1092;B1800-27;0.334415;1.71e-17
1093;J1803-3329;0.633412;3.37e-16
1094;J1804-2228;0.570511;1.43e-16
1095;B1802+03;0.218712;9.99e-16
1096;J1805-0619;0.454651;9.69e-16
1097;J1805-1504;1.181269;2.73e-16
1098;J1805-2032;0.405769;8.39e-15
1099;J1805-2037;0.357807;1.76e-15
1100;J1805-2948;0.428341;4.74e-16
1101;J1806+1023;0.484286;5.73e-17
1102;B1804-12;0.522618;1.41e-15
1103;J1806-1618;0.668309;8.62e-16
1104;J1806-1920;0.879791;1.70e-17
1105;J1806-2125;0.481789;1.21e-13
1106;J1807+0756;0.464300;1.29e-16
1107;B1804-08;0.163727;2.88e-17
1108;J1807-2557;2.764195;4.99e-15
1109;B1804-27;0.827776;1.22e-14
1110;J1808-0813;0.876044;1.24e-15
1111;J1808-1020;0.596993;7.72e-16
1112;J1808-1517;0.544549;2.67e-15
1113;J1808-1726;0.241035;1.16e-17
1114;J1808-2024;7.555920;5.49e-10
1115;B1805-20;0.918410;1.71e-14
1116;J1808-2701;2.457882;6.58e-14
1117;J1808-3249;0.364912;7.05e-15
1118;J1809-0119;0.744976;2.29e-15
1119;J1809-0743;0.313886;1.52e-16
1120;J1809-1429;0.895285;5.24e-15
1121;J1809-1850;1.124481;1.06e-14
1122;J1809-1917;0.082747;2.55e-14
1123;J1809-1943;5.540743;2.83e-12
1124;J1809-2004;0.434811;7.28e-15
1125;B1806-21;0.702414;3.82e-15
1126;J1809-2332;0.146789;3.44e-14
1127;J1809-3547;0.860388;1.20e-16
1128;J1810-1441;0.217214;2.39e-17
1129;J1810-1820;0.153716;5.22e-17
1130;B1806-53;0.261049;3.83e-16
1131;J1811-0154;0.924945;1.61e-15
1132;J1811+0702;0.461713;2.69e-15
1133;J1811-1049;2.623859;8.00e-16
1134;J1811-1717;0.391385;1.20e-16
1135;J1811-1835;0.557464;6.31e-15
1136;J1811-1925;0.064667;4.40e-14
1137;J1811-2439;0.415813;2.97e-16
1138;J1811-4930;1.432704;2.25e-15
1139;B1810+02;0.793903;3.60e-15
1140;B1809-173;1.205374;1.91e-14
1141;B1809-176;0.538341;9.82e-16
1142;J1812-1910;0.430991;3.77e-14
1143;J1812-2102;1.223352;2.39e-14
1144;J1812-2526;0.315835;1.77e-16
1145;J1812-2748;0.236983;3.16e-16
1146;J1812-3039;0.587477;6.60e-16
1147;J1813-1246;0.048072;1.76e-14
1148;J1813-1749;0.044699;1.27e-13
1149;J1813+1822;0.336425;2.10e-17
1150;J1813-2113;0.426466;2.08e-15
1151;J1813-2242;0.328514;4.78e-17
1152;B1811+40;0.931089;2.55e-15
1153;J1814-0521;1.014219;8.84e-16
1154;J1814-0618;1.377868;2.92e-16
1155;J1814+1130;0.751261;1.66e-15
1156;J1814-1649;0.957464;6.33e-15
1157;J1814-1744;3.975905;7.45e-13
1158;J1815-1738;0.198436;7.79e-14
1159;J1815-1910;1.249924;3.63e-14
1160;J1816-0755;0.217643;6.48e-15
1161;J1816-1446;0.594500;1.33e-15
1162;B1813-17;0.782313;7.26e-15
1163;B1813-26;0.592885;6.64e-17
1164;J1817-1511;0.224604;1.43e-15
1165;J1817-1938;2.046838;3.60e-16
1166;B1813-36;0.387017;2.05e-15
1167;J1817-3837;0.384487;5.80e-16
1168;J1818-1116;0.544800;3.82e-15
1169;B1815-14;0.291489;2.04e-15
1170;J1818-1448;0.281371;6.15e-15
1171;J1818-1519;0.939690;4.11e-15
1172;J1818-1541;0.551134;9.68e-15
1173;J1818-1556;0.952709;7.06e-16
1174;J1819-0925;0.852047;3.13e-15
1175;J1819-1008;0.301490;1.32e-15
1176;J1819-1114;0.294163;5.66e-16
1177;J1819-1131;1.388137;7.61e-16
1178;J1819+1305;1.060364;3.59e-16
1179;J1819-1318;1.515696;5.97e-16
1180;J1819-1408;1.788490;2.59e-15
1181;J1819-1458;4.263164;5.75e-13
1182;J1819-1717;0.393522;3.45e-15
1183;B1818-04;0.598076;6.33e-15
1184;J1820-0509;0.337321;9.32e-16
1185;B1817-13;0.921460;4.50e-15
1186;J1820-1529;0.333243;3.79e-14
1187;B1817-18;0.309905;9.36e-17
1188;J1821-0256;0.414111;3.72e-17
1189;J1821-0331;0.902316;2.53e-15
1190;J1821-1419;1.656010;8.95e-13
1191;J1821-1432;1.915131;5.37e-15
1192;J1821+1715;1.366682;8.71e-16
1193;J1822+0705;1.362817;1.75e-15
1194;J1822-0848;2.504518;4.03e-16
1195;J1822-0907;0.974700;3.55e-16
1196;J1822+1120;1.787037;2.35e-15
1197;J1822-1252;2.071040;8.48e-14
1198;B1820-14;0.214771;9.07e-16
1199;J1822-1604;8.437721;2.14e-14
1200;J1822-1617;0.831156;1.89e-15
1201;B1819-22;1.874269;1.35e-15
1202;J1822-4209;0.456512;4.59e-16
1203;J1823-0154;0.759777;1.13e-15
1204;B1821+05;0.752907;2.27e-16
1205;B1820-11;0.279829;1.38e-15
1206;J1823-1126;1.846534;3.65e-14
1207;J1823-1347;0.617107;9.60e-15
1208;J1823-1526;1.625405;4.52e-15
1209;J1823-1807;1.636792;2.79e-16
1210;B1820-30B;0.378596;2.99e-17
1211;J1823-3021C;0.405936;2.24e-16
1212;B1820-31;0.284054;2.93e-15
1213;J1824-0127;2.499468;3.91e-15
1214;B1821-11;0.435759;3.55e-15
1215;J1824-1159;0.362492;5.38e-15
1216;J1824-1350;1.396599;6.07e-16
1217;J1824-1423;0.359394;3.92e-16
1218;J1824-1500;0.412230;7.58e-16
1219;B1821-19;0.189335;5.23e-15
1220;J1824-2233;1.161743;3.01e-16
1221;J1824-2328;1.505875;1.74e-15
1222;J1824-2537;0.223320;4.40e-16
1223;B1822+00;0.778949;8.76e-16
1224;B1822-09;0.769006;5.25e-14
1225;J1825-1108;1.925872;1.90e-15
1226;B1822-14;0.279187;2.27e-14
1227;B1823-11;2.093136;4.91e-15
1228;J1826-1256;0.110224;1.21e-13
1229;B1823-13;0.101487;7.53e-14
1230;J1826-1419;0.770620;8.78e-15
1231;J1826-1526;0.382073;1.08e-15
1232;J1827-0750;0.270502;1.54e-15
1233;J1827-0934;0.512548;7.23e-15
1234;B1824-10;0.245757;1.00e-15
1235;J1827-1446;0.499187;4.53e-14
1236;J1828-0611;0.269415;1.46e-15
1237;J1828-1007;0.153197;6.13e-16
1238;J1828-1057;0.246328;2.07e-14
1239;J1828-1101;0.072052;1.48e-14
1240;J1828-1336;0.860332;9.95e-16
1241;J1828+1359;0.741640;7.29e-16
1242;J1828-2119;0.514523;1.27e-15
1243;J1829+0000;0.199147;5.25e-16
1244;J1829-0734;0.318401;4.79e-15
1245;B1826-17;0.307133;5.55e-15
1246;J1830-0052;0.345698;2.37e-16
1247;J1830-0131;0.457536;6.32e-15
